,3-Oxoheptadecanoyl-CoA,3-Oxoheptanoyl-CoA,3-Oxononanoyl-CoA,3-Oxopentadecanoyl-CoA,3-Oxotridecanoyl-CoA,3-Oxoundecanoyl-CoA,3R-3-Hydroxypentanoyl-CoA,5-Acetoacetyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,Formate,H2O,HCO3-,Heptadecanal,Heptadecanoyl-CoA,Heptanoyl-CoA,Hexadecane,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Nonanoyl-CoA,Orthophosphate,Oxygen,Pent-2-enoyl-CoA,Pentadecanoyl-CoA,Pentanoyl-CoA,Propionyl-CoA,Pyruvate,S-Hydroxyheptadecanoyl-CoA,S-Hydroxyheptanoyl-CoA,S-Hydroxynonanoyl-CoA,S-Hydroxypentadecanoyl-CoA,S-Hydroxytridecanoyl-CoA,S-Hydroxyundecanoyl-CoA,Tridecanoyl-CoA,Undecanoyl-CoA,trans-hept-2-enoyl-CoA,trans-heptadec-2-enoyl-CoA,trans-non-2-enoyl-CoA,trans-pentadec-2-enoyl-CoA,trans-tridec-2-enoyl-CoA,trans-undec-2-enoyl-CoA,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Target,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,
2*CO2 + 7*ATP + 4*NADH + 1*CoA → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,0,-7,1,-2,-1,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 5*NADH → 1*Pyruvate,0,0,0,0,0,0,0,0,0,-7,0,-3,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3*CO2 + 7*ATP + 7*NADH + CoA → Propionyl-CoA,0,0,0,0,0,0,0,0,0,-7,0,-3,-1,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Propionyl-CoA + Malonyl-CoA → 5-Acetoacetyl-CoA + CO2 + CoA,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5-Acetoacetyl-CoA + NADPH + Hplus → 3R-3-Hydroxypentanoyl-CoA + NADPplus,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3R-3-Hydroxypentanoyl-CoA → Pent-2-enoyl-CoA + H2O,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pent-2-enoyl-CoA + NADPH + Hplus → Pentanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malonyl-CoA + Pentanoyl-CoA → CoA + CO2 + 3-Oxoheptanoyl-CoA,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxoheptanoyl-CoA + NADH + Hplus → S-Hydroxyheptanoyl-CoA + NADplus,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxyheptanoyl-CoA → trans-hept-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,,
trans-hept-2-enoyl-CoA + NADPH + Hplus → Heptanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,,
Malonyl-CoA + Heptanoyl-CoA → CoA + CO2 + 3-Oxononanoyl-CoA,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxononanoyl-CoA + NADH + Hplus → S-Hydroxynonanoyl-CoA + NADplus,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxynonanoyl-CoA → trans-non-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,,
trans-non-2-enoyl-CoA + NADPH + Hplus → Nonanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,
Malonyl-CoA + Nonanoyl-CoA → CoA + CO2 + 3-Oxoundecanoyl-CoA,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxoundecanoyl-CoA + NADH + Hplus → S-Hydroxyundecanoyl-CoA + NADplus,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
S-Hydroxyundecanoyl-CoA → trans-undec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,,
trans-undec-2-enoyl-CoA + NADPH + Hplus → Undecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,,
Malonyl-CoA + Undecanoyl-CoA → CoA + CO2 + 3-Oxotridecanoyl-CoA,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,
3-Oxotridecanoyl-CoA + NADH + Hplus → S-Hydroxytridecanoyl-CoA + NADplus,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
S-Hydroxytridecanoyl-CoA → trans-tridec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,,
trans-tridec-2-enoyl-CoA + NADPH + Hplus → Tridecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,,
Malonyl-CoA + Tridecanoyl-CoA → CoA + CO2 + 3-Oxopentadecanoyl-CoA,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,,
3-Oxopentadecanoyl-CoA + NADH + Hplus → S-Hydroxypentadecanoyl-CoA + NADplus,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxypentadecanoyl-CoA → trans-pentadec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,,
trans-pentadec-2-enoyl-CoA + NADPH + Hplus → Pentadecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,,
Malonyl-CoA + Pentadecanoyl-CoA → CoA + CO2 + 3-Oxoheptadecanoyl-CoA,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxoheptadecanoyl-CoA + NADH + Hplus → S-Hydroxyheptadecanoyl-CoA + NADplus,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxyheptadecanoyl-CoA → trans-heptadec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,,
trans-heptadec-2-enoyl-CoA + NADPH + Hplus → Heptadecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,,
Heptadecanoyl-CoA + NADH + Hplus → CoA + Heptadecanal + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Heptadecanal + Oxygen + 2*NADPH + 2*Hplus → Hexadecane + Formate + H2O + 2*NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,1,-2,0,0,-2,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
