"(S)-Methylmalonyl-CoA",Intermediate
"3-methyl-Oxohexanoyl-CoA",Intermediate
"3-methyl-Oxooctanoyl-CoA",Intermediate
"3R-3-methyl-Hydroxybutanoyl-CoA",Intermediate
"3-methyl-Acetoacetyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetyl-CoA",Input/Output
"3-methyl-But-2-enoyl-CoA",Intermediate
"3-methyl-Butanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"3-methyl-Butanoyl-CoA",Intermediate
"3-methyl-Heptane",Target
"3-methyl-Octanoic acid",Intermediate
"3-methyl-Hexanoyl-CoA",Intermediate
"3-methyl-Octanoyl-CoA",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Input/Output
"NADplus",Input/Output
"Orthophosphate",Input/Output
"Propionyl-CoA",Input/Output
"S-3-methyl-Hydroxybutanoyl-CoA",Intermediate
"S-3-methyl-Hydroxyhexanoyl-CoA",Intermediate
"S-3-methyl-Hydroxyoctanoyl-CoA",Intermediate
"3-methyl-trans-but-2-enoyl-CoA",Intermediate
"3-methyl-trans-hex-2-enoyl-CoA",Intermediate
"3-methyl-trans-oct-2-enoyl-CoA",Intermediate