,3-Oxodecanoyl-CoA,3-Oxododecanoyl-CoA,3-Oxohexanoyl-CoA,3-Oxooctanoyl-CoA,3R-3-Hydroxybutanoyl-CoA,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,But-2-enoyl-CoA,Butanoyl-CoA,CO2,CoA,Decanoyl-CoA,Dodecanal,Dodecanoyl-CoA,Formate,H2O,HCO3-,Hexanoyl-CoA,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Octanoyl-CoA,Orthophosphate,Oxygen,Propionyl-CoA,Pyruvate,S-Hydroxydecanoyl-CoA,S-Hydroxydodecanoyl-CoA,S-Hydroxyhexanoyl-CoA,S-Hydroxyoctanoyl-CoA,Undecane,trans-dec-2-enoyl-CoA,trans-dodec-2-enoyl-CoA,trans-hex-2-enoyl-CoA,trans-oct-2-enoyl-CoA,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Intermediate,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Output,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6*HCO3- + 10*ATP + 10*NADH → 2*Pyruvate,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,-10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,
2*Pyruvate → 2*Acetyl-CoA + 2*NADH + 2*CO2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,,
Acetyl-CoA + CO2 + 3*NADH→ Propionyl-CoA,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl-CoA + Malonyl-CoA → Acetoacetyl-CoA + CO2 + CoA,0,0,0,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetoacetyl-CoA + NADPH +Hplus → 3R-3-Hydroxybutanoyl-CoA + NADPplus,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3R-3-Hydroxybutanoyl-CoA → But-2-enoyl-CoA + H2O,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
But-2-enoyl-CoA + NADPH + Hplus → Butanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malonyl-CoA + Butanoyl-CoA → CoA + CO2 + 3-Oxohexanoyl-CoA,0,0,1,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxohexanoyl-CoA + NADH + Hplus → S-Hydroxyhexanoyl-CoA + NADplus,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
S-Hydroxyhexanoyl-CoA → trans-hex-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,,
trans-hex-2-enoyl-CoA + NADPH + Hplus → Hexanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,
Malonyl-CoA + Hexanoyl-CoA → CoA + CO2 + 3-Oxooctanoyl-CoA,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxooctanoyl-CoA + NADH + Hplus → S-Hydroxyoctanoyl-CoA + NADplus,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
S-Hydroxyoctanoyl-CoA → trans-oct-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,,
trans-oct-2-enoyl-CoA + NADPH + Hplus → Octanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
Malonyl-CoA + Octanoyl-CoA → CoA + CO2 + 3-Oxodecanoyl-CoA,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxodecanoyl-CoA + NADH + Hplus → S-Hydroxydecanoyl-CoA + NADplus,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
S-Hydroxydecanoyl-CoA → trans-dec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,,
trans-dec-2-enoyl-CoA + NADPH + Hplus → Decanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,
Malonyl-CoA + Decanoyl-CoA → CoA + CO2 + 3-Oxododecanoyl-CoA,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxododecanoyl-CoA + NADH + Hplus → S-Hydroxydodecanoyl-CoA + NADplus,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
S-Hydroxydodecanoyl-CoA → trans-dodec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,,
trans-dodec-2-enoyl-CoA + NADPH + Hplus → Dodecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,,
Dodecanoyl-CoA + NADH + Hplus → CoA + Dodecanal + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dodecanal + Oxygen + 2*NADPH + 2*Hplus → Undecane + Formate + H2O + 2*NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,-2,0,0,-2,2,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
