,3-Oxoheptanoyl-CoA,3-Oxononanoyl-CoA,3-Oxopentadecanoyl-CoA,3-Oxotridecanoyl-CoA,3-Oxoundecanoyl-CoA,3R-3-Hydroxypentanoyl-CoA,5-Acetoacetyl-CoA,ADP,ATP,Acetyl-CoA,CO2,CoA,Fdred,Formate,H2O,HCO3-,Heptanoyl-CoA,Hplus,Malonyl-CoA,NADH,NADPH,NADPplus,NADplus,Nonanoyl-CoA,Orthophosphate,Oxygen,Pent-2-enoyl-CoA,Pentadecanal,Pentadecanoyl-CoA,Pentanoyl-CoA,Propionyl-CoA,Pyruvate,S-Hydroxyheptanoyl-CoA,S-Hydroxynonanoyl-CoA,S-Hydroxypentadecanoyl-CoA,S-Hydroxytridecanoyl-CoA,S-Hydroxyundecanoyl-CoA,Tetradecane,Tridecanoyl-CoA,Undecanoyl-CoA,trans-hept-2-enoyl-CoA,trans-non-2-enoyl-CoA,trans-pentadec-2-enoyl-CoA,trans-tridec-2-enoyl-CoA,trans-undec-2-enoyl-CoA,
,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Input/Output,Input,Intermediate,Input/Output,Input/Output,Input,Intermediate,Input/Output,Intermediate,Intermediate,Input/Output,Intermediate,Input,Intermediate,Input/Output,Input/Output,Intermediate,Input/Outpu,Input/Output,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Target,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1*CO2 + 1*HCO3- + 3*ATP + 1*NADH + 6*Fdred → 1*Acetyl-CoA,0,0,0,0,0,0,0,0,-3,1,-1,0,-6,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2*Fdred + 1*Acetyl-CoA + 1*CO2 → 1*Pyruvate,0,0,0,0,0,0,0,0,0,-1,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl-CoA + CO2 + 3*NADH→ Propionyl-CoA,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ATP + Acetyl-CoA + HCO3- → ADP + Orthophosphate + Malonyl-CoA,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Propionyl-CoA + Malonyl-CoA → 5-Acetoacetyl-CoA + CO2 + CoA,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5-Acetoacetyl-CoA + NADPH + Hplus → 3R-3-Hydroxypentanoyl-CoA + NADPplus,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3R-3-Hydroxypentanoyl-CoA → Pent-2-enoyl-CoA + H2O,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pent-2-enoyl-CoA + NADPH + Hplus → Pentanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Malonyl-CoA + Pentanoyl-CoA → CoA + CO2 + 3-Oxoheptanoyl-CoA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxoheptanoyl-CoA + NADH + Hplus → S-Hydroxyheptanoyl-CoA + NADplus,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxyheptanoyl-CoA → trans-hept-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,,
trans-hept-2-enoyl-CoA + NADPH + Hplus → Heptanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,,
Malonyl-CoA + Heptanoyl-CoA → CoA + CO2 + 3-Oxononanoyl-CoA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxononanoyl-CoA + NADH + Hplus → S-Hydroxynonanoyl-CoA + NADplus,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxynonanoyl-CoA → trans-non-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,,
trans-non-2-enoyl-CoA + NADPH + Hplus → Nonanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,,
Malonyl-CoA + Nonanoyl-CoA → CoA + CO2 + 3-Oxoundecanoyl-CoA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Oxoundecanoyl-CoA + NADH + Hplus → S-Hydroxyundecanoyl-CoA + NADplus,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
S-Hydroxyundecanoyl-CoA → trans-undec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,,
trans-undec-2-enoyl-CoA + NADPH + Hplus → Undecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,,
Malonyl-CoA + Undecanoyl-CoA → CoA + CO2 + 3-Oxotridecanoyl-CoA,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,,
3-Oxotridecanoyl-CoA + NADH + Hplus → S-Hydroxytridecanoyl-CoA + NADplus,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
S-Hydroxytridecanoyl-CoA → trans-tridec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,,
trans-tridec-2-enoyl-CoA + NADPH + Hplus → Tridecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,,
Malonyl-CoA + Tridecanoyl-CoA → CoA + CO2 + 3-Oxopentadecanoyl-CoA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,
3-Oxopentadecanoyl-CoA + NADH + Hplus → S-Hydroxypentadecanoyl-CoA + NADplus,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
S-Hydroxypentadecanoyl-CoA → trans-pentadec-2-enoyl-CoA + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,,
trans-pentadec-2-enoyl-CoA + NADPH + Hplus → Pentadecanoyl-CoA + NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,,
Pentadecanoyl-CoA + NADH + Hplus → CoA + Pentadecanal + NADplus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pentadecanal + Oxygen + 2*NADH + 2*Hplus → Tetradecane + Formate + H2O + 2*NADPplus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-2,0,-2,0,2,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
Formate → CO2 + NADH + Hplus,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
