"3-Oxoheptanoyl-CoA",Intermediate
"3-Oxononanoyl-CoA",Intermediate
"5-Acetoacetyl-CoA",Intermediate
"3R-3-Hydroxypentanoyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetyl-CoA",Input/Output
"Formate",Intermediate
"Pent-2-enoyl-CoA",Intermediate
"Pentanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"Heptanoyl-CoA",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Input/Output
"NADplus",Input/Output
"Nonanal",Intermediate
"Nonanoyl-CoA",Intermediate
"Orthophosphate",Input/Output
"Octane",Target
"Oxygen",Input/Output
"Propionyl-CoA",Input/Output
"S-Hydroxyheptanoyl-CoA",Intermediate
"S-Hydroxynonanoyl-CoA",Intermediate
"trans-hept-2-enoyl-CoA",Intermediate
"trans-non-2-enoyl-CoA",Intermediate